GOBPID,Pvalue,OddsRatio,ExpCount,Count,Size,Term,Category, Revigo_Eliminated
GO:0004768,0.031134918,Inf,0.031134918,1,1,stearoyl-CoA 9-desaturase activity,MF, False
GO:0004816,0.031134918,Inf,0.031134918,1,1,asparagine-tRNA ligase activity,MF, True
GO:0004817,0.031134918,Inf,0.031134918,1,1,cysteine-tRNA ligase activity,MF, True
GO:0005337,0.031134918,Inf,0.031134918,1,1,nucleoside transmembrane transporter activity,MF, False
GO:0008410,0.031134918,Inf,0.031134918,1,1,CoA-transferase activity,MF, False
GO:0008775,0.031134918,Inf,0.031134918,1,1,acetate CoA-transferase activity,MF, False
GO:0016215,0.031134918,Inf,0.031134918,1,1,acyl-CoA desaturase activity,MF, True
GO:0016405,0.031134918,Inf,0.031134918,1,1,CoA-ligase activity,MF, True
GO:0016717,0.031134918,Inf,0.031134918,1,1,"oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water",MF, False
GO:0016878,0.031134918,Inf,0.031134918,1,1,acid-thiol ligase activity,MF, False
GO:0030729,0.031134918,Inf,0.031134918,1,1,acetoacetate-CoA ligase activity,MF, True
GO:1901567,0.031134918,Inf,0.031134918,1,1,fatty acid derivative binding,MF, False
GO:0005085,0.031519221,3.671268058,1.214261801,4,39,guanyl-nucleotide exchange factor activity,MF, False
GO:0016627,0.032966693,4.79,0.716103113,3,23,"oxidoreductase activity, acting on the CH-CH group of donors",MF, False
GO:0004175,0.03600838,2.424542306,3.144626716,7,101,endopeptidase activity,MF, False
GO:0016829,0.037032284,3.47039174,1.276531637,4,41,lyase activity,MF, False
GO:0004812,0.03998478,3.37788291,1.307666555,4,42,aminoacyl-tRNA ligase activity,MF, False
GO:0016875,0.03998478,3.37788291,1.307666555,4,42,"ligase activity, forming carbon-oxygen bonds",MF, False
GO:0016874,0.044895344,2.489832007,2.61533311,6,84,ligase activity,MF, False
GO:0005215,0.047908718,2.031280788,4.794777369,9,154,transporter activity,MF, False
